year,train_start,train_end,train_samples,investment_samples,lstm_loss,lstm_epochs,lstm_units,forecast_lags,hold_weeks
1997,1992-07-03,1996-12-27,228,52,0.0754038468003273,80,8,4,4
1998,1993-01-08,1997-12-26,253,52,0.07109417766332626,80,8,4,4
1999,1994-01-07,1998-12-25,253,53,0.05277876555919647,80,8,4,4
2000,1995-01-13,1999-12-31,253,52,0.10422567278146744,80,8,4,4
2001,1996-01-05,2000-12-29,254,52,0.12374487519264221,80,8,4,4
2002,1997-01-10,2001-12-28,253,52,0.2011479288339615,80,8,4,4
2003,1998-01-09,2002-12-27,253,52,0.2077116072177887,80,8,4,4
2004,1999-01-08,2003-12-26,253,53,0.1289687305688858,80,8,4,4
2005,2000-01-07,2004-12-31,254,52,0.12980279326438904,80,8,4,4
2006,2001-01-12,2005-12-30,253,52,0.18096841871738434,80,8,4,4
2007,2002-01-11,2006-12-29,253,52,0.11391032487154007,80,8,4,4
2008,2003-01-10,2007-12-28,253,52,0.11774702370166779,80,8,4,4
2009,2004-01-02,2008-12-26,254,52,0.2355930656194687,80,8,4,4
2010,2005-01-07,2009-12-25,253,53,0.21684503555297852,80,8,4,4
2011,2006-01-13,2010-12-31,253,52,0.1862121820449829,80,8,4,4
2012,2007-01-12,2011-12-30,253,52,0.15810050070285797,80,8,4,4
2013,2008-01-04,2012-12-28,254,52,0.1406945139169693,80,8,4,4
2014,2009-01-09,2013-12-27,253,52,0.1283232718706131,80,8,4,4
2015,2010-01-08,2014-12-26,253,52,0.12631747126579285,80,8,4,4
2016,2011-01-07,2015-12-25,253,53,0.05915842205286026,80,8,4,4
2017,2012-01-06,2016-12-30,254,52,0.06080225110054016,80,8,4,4
2018,2013-01-11,2017-12-29,253,52,0.07141300290822983,80,8,4,4
2019,2014-01-10,2018-12-28,253,26,0.0845739096403122,80,8,4,4
